isPageImage, link, compareLink, similarUrlCount, isRelatedLink, containsHost
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214906_940_1709_237306.jpeg?acc=EMSmgN8WfQKBL_IBbHO4YQ&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214906_940_1709_237306.jpeg?acc=emsmgn8wfqkbl_ibbho4yq&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214908_940_1704_92947.jpeg?acc=SUmT-nnWcdNsRuZvKarJ3A&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214908_940_1704_92947.jpeg?acc=sumt-nnwcdnsruzvkarj3a&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214910_940_672_63617.jpeg?acc=zEHmsvvbqKPMuqG0Gs_EUA&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214910_940_672_63617.jpeg?acc=zehmsvvbqkpmuqg0gs_eua&exp=1610780064,46,false,true


false,https://www.mangaread.org/wp-content/uploads/2017/10/llogos.png,wp-content/uploads/2017/10/llogos.png,2,false,true
true,			
			https://www.mangaread.org/wp-content/uploads/WP-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/1.jpg,			
			wp-content/uploads/wp-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/1.jpg,9,false,true
true,			
			https://www.mangaread.org/wp-content/uploads/WP-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/2.jpg,			
			wp-content/uploads/wp-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/2.jpg,9,false,true
true,			
			https://www.mangaread.org/wp-content/uploads/WP-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/3.jpg,			
			wp-content/uploads/wp-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/3.jpg,9,false,true
true,			
			https://www.mangaread.org/wp-content/uploads/WP-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/4.jpg,			
			wp-content/uploads/wp-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/4.jpg,9,false,true
true,			
			https://www.mangaread.org/wp-content/uploads/WP-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/5.jpg,			
			wp-content/uploads/wp-manga/data/manga_5ef9a1f74747c/ec44fb4fc4d01dd371e04529ac6d9197/5.jpg,9,false,true
true,			
